Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,4000-<=6000,,360,1,Urban,1
LP001003,Male,Yes,1,Graduate,No,4000-<=6000,128,360,1,Rural,0
LP001005,Male,Yes,0,Graduate,Yes,2000-<=3000,66,360,1,Urban,1
LP001006,Male,Yes,0,Not Graduate,No,2000-<=3000,120,360,1,Urban,1
LP001008,Male,No,0,Graduate,No,4000-<=6000,141,360,1,Urban,1
LP001011,Male,Yes,2,Graduate,Yes,4000-<=6000,267,360,1,Urban,1
LP001013,Male,Yes,0,Not Graduate,No,2000-<=3000,95,360,1,Urban,1
LP001014,Male,Yes,3,Graduate,No,3000-<=4000,158,360,0,Semiurban,0
LP001018,Male,Yes,2,Graduate,No,4000-<=6000,168,360,1,Urban,1
LP001020,Male,Yes,1,Graduate,No,10000-<=20000,349,360,1,Semiurban,0
LP001024,Male,Yes,2,Graduate,No,3000-<=4000,70,360,1,Urban,1
LP001027,Male,Yes,2,Graduate,,2000-<=3000,109,360,1,Urban,1
LP001028,Male,Yes,2,Graduate,No,3000-<=4000,200,360,1,Urban,1
LP001029,Male,No,0,Graduate,No,1000-<=2000,114,360,1,Rural,0
LP001030,Male,Yes,2,Graduate,No,1000-<=2000,17,120,1,Urban,1
LP001032,Male,No,0,Graduate,No,4000-<=6000,125,360,1,Urban,1
LP001034,Male,No,1,Not Graduate,No,3000-<=4000,100,240,,Urban,1
LP001036,Female,No,0,Graduate,No,3000-<=4000,76,360,0,Urban,0
LP001038,Male,Yes,0,Not Graduate,No,4000-<=6000,133,360,1,Rural,0
LP001041,Male,Yes,0,Graduate,,2000-<=3000,115,,1,Urban,1
LP001043,Male,Yes,0,Not Graduate,No,6000-<=8000,104,360,0,Urban,0
LP001046,Male,Yes,1,Graduate,No,4000-<=6000,315,360,1,Urban,1
LP001047,Male,Yes,0,Not Graduate,No,2000-<=3000,116,360,0,Semiurban,0
LP001050,,Yes,2,Not Graduate,No,3000-<=4000,112,360,0,Rural,0
LP001052,Male,Yes,1,Graduate,,3000-<=4000,151,360,,Semiurban,0
LP001066,Male,Yes,0,Graduate,Yes,8000-<=10000,191,360,1,Semiurban,1
LP001068,Male,Yes,0,Graduate,No,2000-<=3000,122,360,1,Semiurban,1
LP001073,Male,Yes,2,Not Graduate,No,4000-<=6000,110,360,1,Urban,1
LP001086,Male,No,0,Not Graduate,No,1000-<=2000,35,360,1,Urban,0
LP001087,Female,No,2,Graduate,,3000-<=4000,120,360,1,Semiurban,1
LP001091,Male,Yes,1,Graduate,,4000-<=6000,201,360,,Urban,0
LP001095,Male,No,0,Graduate,No,3000-<=4000,74,360,1,Urban,0
LP001097,Male,No,1,Graduate,Yes,4000-<=6000,106,360,1,Rural,0
LP001098,Male,Yes,0,Graduate,No,3000-<=4000,114,360,1,Semiurban,1
LP001100,Male,No,3,Graduate,No,10000-<=20000,320,360,1,Rural,0
LP001106,Male,Yes,0,Graduate,No,2000-<=3000,,360,1,Urban,1
LP001109,Male,Yes,0,Graduate,No,1000-<=2000,100,,0,Urban,0
LP001112,Female,Yes,0,Graduate,No,3000-<=4000,144,360,1,Semiurban,1
LP001114,Male,No,0,Graduate,No,4000-<=6000,184,360,1,Urban,1
LP001116,Male,No,0,Not Graduate,No,3000-<=4000,110,360,1,Semiurban,1
LP001119,Male,No,0,Graduate,No,3000-<=4000,80,360,1,Urban,0
LP001120,Male,No,0,Graduate,No,1000-<=2000,47,360,1,Urban,1
LP001123,Male,Yes,0,Graduate,No,2000-<=3000,75,360,,Urban,1
LP001131,Male,Yes,0,Graduate,No,3000-<=4000,134,360,1,Semiurban,1
LP001136,Male,Yes,0,Not Graduate,Yes,4000-<=6000,96,,1,Urban,1
LP001137,Female,No,0,Graduate,No,3000-<=4000,88,,1,Urban,1
LP001138,Male,Yes,1,Graduate,No,4000-<=6000,44,360,1,Urban,1
LP001144,Male,Yes,0,Graduate,No,4000-<=6000,144,360,1,Urban,1
LP001146,Female,Yes,0,Graduate,No,2000-<=3000,120,360,0,Urban,0
LP001151,Female,No,0,Graduate,No,3000-<=4000,144,360,1,Semiurban,1
LP001155,Female,Yes,0,Not Graduate,No,1000-<=2000,100,360,1,Semiurban,1
LP001157,Female,No,0,Graduate,No,3000-<=4000,120,360,1,Semiurban,1
LP001164,Female,No,0,Graduate,No,4000-<=6000,112,360,1,Semiurban,0
LP001179,Male,Yes,2,Graduate,No,4000-<=6000,134,360,1,Urban,0
LP001186,Female,Yes,1,Graduate,Yes,10000-<=20000,286,360,0,Urban,0
LP001194,Male,Yes,2,Graduate,No,2000-<=3000,97,360,1,Semiurban,1
LP001195,Male,Yes,0,Graduate,No,2000-<=3000,96,360,1,Semiurban,1
LP001197,Male,Yes,0,Graduate,No,3000-<=4000,135,360,1,Rural,0
LP001198,Male,Yes,1,Graduate,No,8000-<=10000,180,360,1,Urban,1
LP001199,Male,Yes,2,Not Graduate,No,3000-<=4000,144,360,1,Urban,1
LP001205,Male,Yes,0,Graduate,No,2000-<=3000,120,360,1,Urban,1
LP001206,Male,Yes,3,Graduate,No,3000-<=4000,99,360,1,Urban,1
LP001207,Male,Yes,0,Not Graduate,Yes,2000-<=3000,165,180,0,Rural,0
LP001213,Male,Yes,1,Graduate,No,4000-<=6000,,360,0,Rural,0
LP001222,Female,No,0,Graduate,No,4000-<=6000,116,360,0,Semiurban,0
LP001225,Male,Yes,0,Graduate,No,4000-<=6000,258,360,1,Semiurban,0
LP001228,Male,No,0,Not Graduate,No,3000-<=4000,126,180,0,Urban,0
LP001233,Male,Yes,1,Graduate,No,10000-<=20000,312,360,1,Urban,1
LP001238,Male,Yes,3,Not Graduate,Yes,6000-<=8000,125,60,1,Urban,1
LP001241,Female,No,0,Graduate,No,4000-<=6000,136,360,0,Semiurban,0
LP001243,Male,Yes,0,Graduate,No,3000-<=4000,172,360,1,Urban,1
LP001245,Male,Yes,2,Not Graduate,Yes,1000-<=2000,97,360,1,Semiurban,1
LP001248,Male,No,0,Graduate,No,3000-<=4000,81,300,1,Semiurban,1
LP001250,Male,Yes,3,Not Graduate,No,4000-<=6000,95,,0,Semiurban,0
LP001253,Male,Yes,3,Graduate,Yes,4000-<=6000,187,360,1,Semiurban,1
LP001255,Male,No,0,Graduate,No,3000-<=4000,113,480,1,Urban,0
LP001256,Male,No,0,Graduate,No,3000-<=4000,176,360,1,Urban,0
LP001259,Male,Yes,1,Graduate,Yes,0-<=1000,110,360,1,Urban,0
LP001263,Male,Yes,3,Graduate,No,3000-<=4000,180,300,0,Semiurban,0
LP001264,Male,Yes,3,Not Graduate,Yes,3000-<=4000,130,360,,Semiurban,1
LP001265,Female,No,0,Graduate,No,3000-<=4000,111,360,1,Semiurban,1
LP001266,Male,Yes,1,Graduate,Yes,2000-<=3000,,360,1,Semiurban,1
LP001267,Female,Yes,2,Graduate,No,1000-<=2000,167,360,1,Urban,0
LP001273,Male,Yes,0,Graduate,No,4000-<=6000,265,360,,Semiurban,0
LP001275,Male,Yes,1,Graduate,No,3000-<=4000,50,240,1,Urban,1
LP001279,Male,No,0,Graduate,No,2000-<=3000,136,360,1,Semiurban,1
LP001280,Male,Yes,2,Not Graduate,No,3000-<=4000,99,360,,Semiurban,1
LP001282,Male,Yes,0,Graduate,No,2000-<=3000,104,360,1,Semiurban,1
LP001289,Male,No,0,Graduate,No,8000-<=10000,210,360,1,Urban,1
LP001310,Male,Yes,0,Graduate,No,4000-<=6000,175,360,1,Semiurban,1
LP001316,Male,Yes,0,Graduate,No,2000-<=3000,131,360,1,Semiurban,1
LP001318,Male,Yes,2,Graduate,No,6000-<=8000,188,180,1,Semiurban,1
LP001319,Male,Yes,2,Not Graduate,No,3000-<=4000,81,360,1,Urban,1
LP001322,Male,No,0,Graduate,No,4000-<=6000,122,360,1,Semiurban,1
LP001325,Male,No,0,Not Graduate,No,3000-<=4000,25,120,1,Semiurban,1
LP001326,Male,No,0,Graduate,,6000-<=8000,,360,,Urban,0
LP001327,Female,Yes,0,Graduate,No,2000-<=3000,137,360,1,Semiurban,1
LP001333,Male,Yes,0,Graduate,No,1000-<=2000,50,360,1,Semiurban,1
LP001334,Male,Yes,0,Not Graduate,No,4000-<=6000,115,180,1,Semiurban,1
LP001343,Male,Yes,0,Graduate,No,1000-<=2000,131,360,1,Semiurban,1
LP001345,Male,Yes,2,Not Graduate,No,4000-<=6000,133,180,1,Urban,1
LP001349,Male,No,0,Graduate,No,4000-<=6000,151,360,1,Semiurban,1
LP001350,Male,Yes,,Graduate,No,10000-<=20000,,360,1,Urban,1
LP001356,Male,Yes,0,Graduate,No,4000-<=6000,,360,1,Semiurban,1
